Designator,Quantity,Manufacturer Part,Description,Package,Value,Notes
U_MCU,1,ST STM32F103C8T6,ARM Cortex-M3 MCU,LQFP-48,,
U_RS485,1,TI THVD1450,RS-485 Transceiver,SOIC-8,3.3V,
U_DRV,1,Microchip TC4468,Quad MOSFET Driver,SOIC-14,5V,
Q_SW1;Q_SW2;Q_SW3;Q_SW4,4,Infineon/IR IRLZ44NPbF,Logic-level NMOS,TO-220,,
R_SHUNT1;R_SHUNT2;R_SHUNT3;R_SHUNT4,4,Vishay WSL2512,Current Shunt,2512,0.050Ω 1%,
U_ISA1;U_ISA2;U_ISA3;U_ISA4,4,TI INA180A1,Current Sense Amplifier,SOT-23-6,Gain 20,
D_FLY1;D_FLY2;D_FLY3;D_FLY4,4,ST STPS3L60,Schottky freewheel,SMA/SMB,,
D_TVS_CH1;D_TVS_CH2;D_TVS_CH3;D_TVS_CH4,4,SMBJ33A,TVS diode,SMBJ,,
U_Buck,1,TI LM2596S-5.0,Buck Regulator,TO-263-5,5V,
L_Buck,1,MSS1038-333,Inductor 33uH,10x10mm,33µH ≥3A,
D_Buck,1,ON MBR360,Schottky Diode,TO-220,,
C_IN;C_OUT,2,Panasonic FR,Electrolytic,Radial,100µF 25V,
U_LDO,1,Microchip MCP1700-3302E,LDO,SOT-23,3.3V,
Q_RVB,1,IRF4905,PFET TO-220 reverse battery,TO-220,,
D_IN_TVS,1,SMBJ24A,TVS diode,SMBJ,,
J_PWR,1,Phoenix 2-pin,Power input,5.08mm,,
J485,1,Phoenix 3-pin,RS-485 A/B/GND,5.08mm,,
SM712,1,Semtech SM712,RS-485 TVS,SMD,,
SW_ADDR,1,ALPS 4-position DIP,DIP-8,Address,,
J_OUT1;J_OUT2;J_OUT3;J_OUT4,4,Phoenix 2-pin,Load Output,5.08mm,,
Misc,~,,Resistors/Capacitors,,Decoupling/snubber/gate network,
