Designator,Quantity,Value,Part,Footprint,Notes
Q1..Q4,4,IRLZ44N,IRLZ44N,TO-220-3_Vertical,Logic-level MOSFET
U5,1,TC4468,TC4468,SOIC-14,Quad MOSFET driver @5V
D_FREE1..D_FREE4,4,STPS3L60,STPS3L60,SMA,Flyback diode per channel
D_TVS1..4,4,SMBJ33A,SMBJ33A,SMB,Output surge clamp (to +12V)
R_G1..4,4,22R,Resistor 22Ω 1%,R_0805,Gate resistor
R_PD1..4,4,100k,Resistor 100k 1%,R_0805,Gate pulldown
R_SHUNT1..4,4,0.05Ω 1W,Shunt 2512 1%,R_Shunt_2512,Current sense
U_SNS1..4,4,INA180A1,INA180A1,SOT-23-5,Gain=20
R_ADC1..4,4,100R,Resistor 100Ω 1%,R_0603,ADC RC filter
C_ADC1..4,4,10nF,Cap 10nF,C_0603,ADC RC filter
LED_OUT1..4,4,Green LED,Generic,LED_1206,"+12V->2.2k->LED->OUT"
R_LED1..4,4,2.2k,Resistor 2.2k,R_1206,Output LED
U3,1,THVD1450,THVD1450,SOIC-8,RS-485 transceiver
R_TERM,1,120Ω,Res 120Ω 1%,R_0805,Across A/B via jumper
R_A_BIAS,1,680Ω,Res 680Ω 1%,R_0805,A->+5V (jumper-able)
R_B_BIAS,1,680Ω,Res 680Ω 1%,R_0805,B->GND (jumper-able)
D_RS485,1,SM712,SM712,SOT-23-6,RS-485 surge protector
CMC_RS485,1,100Ω@100MHz,WE 744232,Custom,Optional choke
U1,1,LM2596S-5.0,LM2596-5.0,TO-263-5,Buck 12V->5V
D_BK,1,MBR360,MBR360,SMC,Buck rectifier
L1,1,33–47uH 3A+,NR8040,L_8x8mm,Inductor
CIN,1,100µF/35V,Electrolytic,Radial 6.3mm,Input bulk
COUT1,1,330µF/10V,Electrolytic,Radial 6.3mm,Output bulk
COUT2,1,22µF,MLCC,C_1206,Output ceramic
U2,1,MCP1700-3302,MCP1700-3302,SOT-23,3.3V LDO
U4,1,STM32F103C8T6,STM32F103C8T6,LQFP-48,MCU
J1,1,PWR_IN 3-pos,Phoenix MSTBA,TerminalBlock_Phoenix 5.08mm,Power input
J2,1,RS485 3-pos,Phoenix MSTBA,TerminalBlock_Phoenix 5.08mm,RS-485
J_OUT1..J_OUT4,4,2-pos,Phoenix MSTBA,TerminalBlock_Phoenix 5.08mm,Load outputs
J_SWD,1,SWD 1x5,PinHeader,1x05 2.54mm,Debug
SW_DIP,1,DIP-8,Generic,DIP-8,Address
D_IN,1,SMBJ24A,SMBJ24A,SMB,Input TVS
QRP,1,IRF4905,IRF4905,TO-220-3,Reverse polarity PFET
